Title,Release Date,URL,Synopsis
Courage Under Fire,2000,https://itunes.apple.com/us/movie/courage-under-fire/id276618006?uo=4,"When Lt. Colonel Nathaniel Serling (Denzel Washington) is asked to review the posthumous candidacy of the first woman (Meg Ryan) to receive a medal of honor, he finds himself plunged into an apparent cover-up surrounding the actions that led to her death. As he struggles to uncover the truth, he also finds himself forced to confront his own tormenting demons. Matt Damon co-stars in this powerful and provocative drama."
Evil Under the Sun,1982,https://itunes.apple.com/us/movie/evil-under-the-sun/id297784061?uo=4,"Peter Ustinov is Hercule Poirot, the master detective, in this Agatha Christie murder mystery film. An opulent beach resort provides a scenic background to this amusing whodunit as Poirot attempts to uncover the nefarious evildoer behind the strangling of a notorious stage star. Is the killer one of the many rich and famous patrons in attendance, or is the answer even more diabolical? Before the final curtain call, Poirot must find the truth."
Totally Under Control,2020,https://itunes.apple.com/us/movie/totally-under-control/id1533271911?uo=4,"On January 20th, 2020 the US and South Korea both discovered their first cases of COVID-19. However, 9 months later, the novel Coronavirus has claimed the lives of almost 200,000 Americans and caused staggering economic damage, while in South Korea, there were no significant lockdowns and, in an urbanized population of 51 million, only 344 lives have been lost.  Where did we go wrong? As the presidential election nears, Americans are increasingly enraged by a lack of clear leadership, endemic political corruption and left to wonder how did the wealthiest and most powerful country in the world manage to fail so thoroughly in its response to a global pandemic? 
Academy Award-winning filmmaker Alex Gibney, directing with Ophelia Harutyunyan and Suzanne Hillinger, interrogates this question and its devastating implications in Totally Under Control.  With damning testimony from public health officials and hard investigative reporting, Gibney exposes a system-wide collapse caused by a profound dereliction of Presidential leadership. 
 
It will be a generation before we know the full extent of the damage wrought by this pandemic, but Totally Under Control will stand as the definitive account of the Trump administration’s incompetence, corruption and denial in the face of this global pandemic."
Strawberry Shortcake: Fun Under the Sun,2014,https://itunes.apple.com/us/movie/strawberry-shortcake-fun-under-the-sun/id848837194?uo=4,"Join Strawberry Shortcake and her berry best pals on some sweet sunshine adventures! Although Blueberry makes a mistake in thinking Strawberry and her pals are headed for a tropical resort, the friends realize that, if they work together, they can create their own resort – Berry Bitty City-style! And maybe, just maybe, their friend Cherry Jam will wind up on TV in the process!"
Under Suspicion,2000,https://itunes.apple.com/us/movie/under-suspicion/id320123417?uo=4,"Set in the steamy tropics of Puerto Rico... The day after he finds the body of a dead girl on his daily jog, a prominent lawyer is called into a police station so that he can be interrogated by a homicide cop. Over the course of one long night, the police hope to prove that he is really the serial killer."
Under Great White Northern Lights,2010,https://itunes.apple.com/us/movie/under-great-white-northern-lights/id355609179?uo=4,"A 92-minute documentary, directed by Emmett Malloy, also containing live footage from The White Stripes Canadian tour.  A rare and personal perspective into The White Stripes."
The People Under the Stairs,1991,https://itunes.apple.com/us/movie/the-people-under-the-stairs/id282510078?uo=4,"Wes Craven, the director of The Serpent and the Rainbow and Shocker, locks you inside the most terrifying house on the street. Trapped inside a fortified home owned by a mysterious couple, a young boy is suddenly thrust into a nightmare. The boy quickly learns the true nature of the house's homicidal inhabitants and the secret creatures hidden deep within the house. Stunning visuals highlight this inventive film that the San Francisco Chronicle calls, ""Wes Craven's most satisfying movie."""
Police Academy 6,1989,https://itunes.apple.com/us/movie/police-academy-6/id271784279?uo=4,The cadets take to the streets when three inept goons successfully orchestrate a metropolitan crime wave.
Under The Stadium Lights,2021,https://itunes.apple.com/us/movie/under-the-stadium-lights/id1563839294?uo=4,"Milo Gibson (Hacksaw Ridge) and Laurence Fishburne (The Matrix) star in this inspirational true story of a small town high school football team who beat all the odds to win their state championship. After a crushing defeat ended their prior season, everyone counted the Abilene Eagles out of title contention. Facing doubts and personal challenges both on and off the field, it will take the guidance of their team chaplain (Gibson) and a surrogate father figure (Fishburne) for them to realize what they can achieve when they stand united as a team. In this uplifting underdog story, the Abilene Eagles will once again soar in an incredible comeback that will be forever remembered in sports history."
Land of Mine,2017,https://itunes.apple.com/us/movie/land-of-mine/id1204995201?uo=4,"As World War II comes to an end, a group of young German POWs are captured by the Danish army and forced to defuse and clear 2 million land mines from the Danish coast. With little to no training, the boys soon discover that the war is far from over. Inspired by true events, Land Of Mine exposes the untold story about the young men who faced overwhelming odds in a post-war world."
